物件名,住所,アクセス,築年数,階数,家賃,管理費,間取り,広さ
クラッシィハウス神田美土代町,東京都千代田区内神田１,東京メトロ丸ノ内線/淡路町駅 歩4分 東京メトロ千代田線/新御茶ノ水駅 歩4分 ＪＲ山手線/神田駅 歩6分,築9年,7階,24万円,15000円,1LDK,48.12m2
ラフィネ大崎,東京都品川区大崎５,ＪＲ山手線/大崎駅 歩4分 東急池上線/大崎広小路駅 歩5分 ＪＲ山手線/五反田駅 歩7分,築27年,3階,17.5万円,12000円,2LDK,61.84m2
ＪＲ山手線 秋葉原駅 地下1地上21階建 築18年,東京都千代田区神田練塀町,ＪＲ山手線/秋葉原駅 歩4分 東京メトロ銀座線/末広町駅 歩6分 都営新宿線/岩本町駅 歩7分,築18年,6階,17.5万円,13000円,1LDK,41.29m2
ブリックコート神田錦町,東京都千代田区神田錦町３,東京メトロ半蔵門線/神保町駅 歩4分 東京メトロ千代田線/新御茶ノ水駅 歩6分 都営新宿線/小川町駅 歩7分,築4年,12階,20.8万円,12000円,1LDK,41.79m2
パークアクシス御茶ノ水ステージ,東京都文京区湯島３,ＪＲ中央線/御茶ノ水駅 歩8分 ＪＲ山手線/秋葉原駅 歩10分 東京メトロ千代田線/湯島駅 歩6分,築18年,5階,17.5万円,10000円,1LDK,40.49m2
ザ・パークハビオ目黒桜邸,東京都品川区上大崎４,東急目黒線/不動前駅 歩6分 ＪＲ山手線/目黒駅 歩10分 ＪＲ山手線/五反田駅 歩11分,築2年,4階,20.3万円,15000円,1LDK,36.42m2
ＪＲ京葉線 八丁堀駅 地下2地上16階建 築15年,東京都中央区八丁堀４,ＪＲ京葉線/八丁堀駅 歩1分 都営浅草線/宝町駅 歩7分 東京メトロ有楽町線/新富町駅 歩8分,築15年,4階,18万円,10000円,1LDK,41.64m2
レジディア日本橋馬喰町,東京都中央区日本橋馬喰町１,ＪＲ総武線快速/馬喰町駅 歩1分 都営新宿線/馬喰横山駅 歩2分 都営浅草線/東日本橋駅 歩5分,築17年,4階,17万円,15000円,1LDK,47.12m2
オープンレジデンシア六義園サウスコート,東京都文京区本駒込６,ＪＲ山手線/駒込駅 歩10分 都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩10分,築5年,8階,14.5万円,10000円,1LDK,32.17m2
リガーレ日本橋人形町,東京都中央区日本橋人形町１,東京メトロ半蔵門線/水天宮前駅 歩1分 東京メトロ日比谷線/人形町駅 歩2分 東京メトロ東西線/茅場町駅 歩7分,築17年,39階,27.4万円,6000円,1LDK,50.9m2
サンウッドフラッツ神田神保町,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩3分 東京メトロ東西線/九段下駅 歩6分 ＪＲ中央線/水道橋駅 歩9分,新築,5階,17万円,10000円,1LDK,30.86m2
ルニ神田,東京都千代田区神田北乗物町,ＪＲ山手線/神田駅 歩3分 ＪＲ総武線快速/新日本橋駅 歩6分 都営新宿線/岩本町駅 歩6分,新築,8階,20万円,10000円,1LDK,40.42m2
コンフォリア日本橋人形町イースト,東京都中央区日本橋人形町３,東京メトロ日比谷線/人形町駅 歩2分 東京メトロ半蔵門線/水天宮前駅 歩6分 東京メトロ日比谷線/小伝馬町駅 歩6分,築17年,6階,22.2万円,10000円,1LDK,50.13m2
ベルファース本郷弓町,東京都文京区本郷１,都営三田線/水道橋駅 歩4分 東京メトロ南北線/後楽園駅 歩8分 東京メトロ丸ノ内線/本郷三丁目駅 歩6分,築18年,6階,16.9万円,10000円,1LDK,40.73m2
キノモリ代々木上原,東京都渋谷区上原２,小田急線/代々木上原駅 歩7分 東京メトロ千代田線/代々木公園駅 歩9分 小田急線/代々木八幡駅 歩8分,新築,4階,12.7万円,10000円,2K,23.7m2
ＪＲ中央線 水道橋駅 12階建 築13年,東京都千代田区神田三崎町３,ＪＲ中央線/水道橋駅 歩5分 東京メトロ東西線/九段下駅 歩6分 東京メトロ半蔵門線/神保町駅 歩8分,築13年,7階,15.5万円,10000円,1DK,37.95m2
ライオンズタワー目黒川,東京都品川区西五反田３,ＪＲ山手線/五反田駅 歩7分 東急目黒線/不動前駅 歩10分 ＪＲ山手線/目黒駅 歩12分,築11年,10階,33万円,18000円,2LDK,67.32m2
月島輝夜,東京都中央区月島３,東京メトロ有楽町線/月島駅 歩5分 都営大江戸線/勝どき駅 歩5分 東京メトロ日比谷線/東銀座駅 歩20分,築4年,6階,15.6万円,15000円,1LDK,40.31m2
都営大江戸線 森下駅 8階建 築4年,東京都墨田区千歳３,都営大江戸線/森下駅 歩5分 ＪＲ総武線/両国駅 歩8分 都営新宿線/浜町駅 歩16分,築4年,7階,21.5万円,15000円,2LDK,57.62m2
レーヴ半蔵門,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩2分 東京メトロ有楽町線/麹町駅 歩7分 東京メトロ有楽町線/永田町駅 歩8分,築8年,11階,28万円,10000円,1SLDK,54.15m2
Visterio,東京都品川区東中延１,東急池上線/荏原中延駅 歩3分 都営浅草線/戸越駅 歩9分 東急大井町線/戸越公園駅 歩7分,築5年,2階,13.8万円,4000円,1DK,32.65m2
浜町グランドハイツ,東京都中央区日本橋中洲,東京メトロ半蔵門線/水天宮前駅 歩5分 都営新宿線/浜町駅 歩8分 東京メトロ日比谷線/人形町駅 歩10分,築48年,5階,9.4万円,6000円,1LDK,33.93m2
サンモール荒木,東京都墨田区業平１,東武伊勢崎線/とうきょうスカイツリー駅 歩5分 東京メトロ半蔵門線/押上駅 歩6分 都営浅草線/本所吾妻橋駅 歩7分,築36年,4階,8.45万円,3500円,1LDK,34.46m2
アーバネックス千代田淡路町,東京都千代田区神田小川町１,都営新宿線/小川町駅 歩1分 ＪＲ山手線/神田駅 歩10分 ＪＲ中央線/神田駅 歩10分,築2年,8階,18.6万円,15000円,1LDK,31.96m2
平河町森タワーレジデンス,東京都千代田区平河町２,東京メトロ有楽町線/永田町駅 歩1分 東京メトロ丸ノ内線/赤坂見附駅 歩6分 東京メトロ半蔵門線/半蔵門駅 歩8分,築15年,14階,120万円,30000円,2LDK,131.74m2
プライムアーバン日本橋茅場町,東京都中央区日本橋茅場町３,東京メトロ日比谷線/茅場町駅 歩3分 ＪＲ京葉線/八丁堀駅 歩8分 東京メトロ銀座線/日本橋駅 歩8分,築20年,3階,13.4万円,6000円,1DK,32.46m2
東京メトロ日比谷線 茅場町駅 14階建 築20年,東京都中央区日本橋茅場町３,東京メトロ日比谷線/茅場町駅 歩3分 ＪＲ京葉線/八丁堀駅 歩8分 東京メトロ銀座線/日本橋駅 歩8分,築20年,3階,13.4万円,6000円,1DK,32.46m2
ピアクレスト経堂,東京都世田谷区宮坂２,小田急線/豪徳寺駅 歩6分 小田急線/経堂駅 歩9分 東急世田谷線/山下駅 歩8分,築35年,1階,33万円,0円,4SLDK,132.97m2
パークハウス三番町,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩3分 東京メトロ有楽町線/麹町駅 歩9分 ＪＲ中央線/市ケ谷駅 歩13分,築16年,13階,63万円,20000円,3LDK,116.99m2
ミッドガーデン赤坂氷川,東京都港区赤坂６,東京メトロ千代田線/赤坂駅 歩6分 東京メトロ日比谷線/六本木駅 歩8分 東京メトロ千代田線/乃木坂駅 歩8分,築11年,4階,35.5万円,0円,2LDK,60.02m2
パークコート三番町ヒルトップレジデンス,東京都千代田区三番町,東京メトロ有楽町線/市ケ谷駅 歩4分 ＪＲ中央線/市ケ谷駅 歩7分 東京メトロ半蔵門線/半蔵門駅 歩8分,築7年,8階,29.8万円,20000円,1LDK,57.32m2
パークホームズ浜松町,東京都港区海岸１,ＪＲ山手線/浜松町駅 歩6分 新交通ゆりかもめ/竹芝駅 歩2分 都営大江戸線/大門駅 歩7分,新築,7階,33.9万円,30000円,2LDK,57.95m2
ボナール白山,東京都文京区白山５,都営三田線/千石駅 歩6分 東京メトロ南北線/本駒込駅 歩11分 都営三田線/白山駅 歩9分,築5年,8階,15.6万円,17000円,1LDK,40.06m2
カスタリア八丁堀,東京都中央区八丁堀３,ＪＲ京葉線/八丁堀駅 歩1分 東京メトロ日比谷線/茅場町駅 歩6分 都営浅草線/宝町駅 歩8分,築18年,6階,19.7万円,8000円,1LDK,48.1m2
銀座イースト・シティタワー,東京都中央区新富２,東京メトロ有楽町線/新富町駅 歩1分 東京メトロ日比谷線/築地駅 歩6分 都営浅草線/宝町駅 歩7分,築22年,4階,22万円,10000円,1LDK,50.06m2
ザ・ライオンズフォーシア八丁堀,東京都中央区湊１,ＪＲ京葉線/八丁堀駅 歩5分 東京メトロ有楽町線/新富町駅 歩9分 東京メトロ日比谷線/築地駅 歩13分,新築,2階,20.5万円,20000円,2DK,40.37m2
ロイジェント新橋,東京都港区新橋５,ＪＲ山手線/新橋駅 歩7分 都営浅草線/新橋駅 歩7分 都営三田線/御成門駅 歩7分,築10年,4階,16.9万円,10000円,1LDK,37.55m2
コート元代々木町,東京都渋谷区元代々木町,小田急線/代々木八幡駅 歩6分 東京メトロ千代田線/代々木公園駅 歩7分 東京メトロ千代田線/代々木上原駅 歩10分,築3年,1階,23.4万円,10000円,1LDK,47.45m2
プライマルシティ神楽坂,東京都文京区関口１,東京メトロ有楽町線/江戸川橋駅 歩2分 東京メトロ東西線/神楽坂駅 歩8分 都営大江戸線/牛込神楽坂駅 歩15分,築4年,4階,30.5万円,15000円,2LDK,55.46m2
アムス八丁堀I,東京都中央区新川２,ＪＲ京葉線/八丁堀駅 歩5分 東京メトロ東西線/茅場町駅 歩10分 東京メトロ半蔵門線/水天宮前駅 歩16分,築20年,3階,15.5万円,7000円,1LDK,44.95m2
グラスローゼ,東京都港区芝３,都営三田線/芝公園駅 歩4分 都営大江戸線/赤羽橋駅 歩8分 ＪＲ山手線/田町駅 歩9分,築8年,2階,14.7万円,3000円,1LDK,35.18m2
Ｌａ　Ｐａｉｘ　Ｓｋｙｔｒｅｅ　ラぺスカイツリー,東京都墨田区向島３,東武伊勢崎線/とうきょうスカイツリー駅 歩5分 東京メトロ半蔵門線/押上駅 歩6分 都営浅草線/本所吾妻橋駅 歩12分,築2年,4階,13.6万円,8000円,1LDK,33.84m2
ザ・ライオンズフォーシア八丁堀,東京都中央区湊１,ＪＲ京葉線/八丁堀駅 歩5分 東京メトロ有楽町線/新富町駅 歩9分 東京メトロ日比谷線/築地駅 歩13分,新築,2階,20.5万円,20000円,2DK,40.37m2
アムス八丁堀I,東京都中央区新川２,ＪＲ京葉線/八丁堀駅 歩5分 東京メトロ東西線/茅場町駅 歩10分 東京メトロ半蔵門線/水天宮前駅 歩16分,築20年,3階,15.5万円,7000円,1LDK,44.95m2
ブエナヴィスタ代々木,東京都渋谷区代々木２,ＪＲ山手線/代々木駅 歩5分 小田急線/南新宿駅 歩2分 ＪＲ山手線/新宿駅 歩9分,築8年,4階,16.7万円,12000円,1LDK,34.74m2
ラサンテ文京千駄木,東京都文京区千駄木２,東京メトロ千代田線/千駄木駅 歩6分 東京メトロ南北線/東大前駅 歩9分 都営三田線/白山駅 歩15分,築1年,4階,30.5万円,15000円,2LDK,57.06m2
湯島台レジデンス,東京都文京区湯島２,東京メトロ千代田線/湯島駅 歩4分 ＪＲ中央線/御茶ノ水駅 歩13分 ＪＲ山手線/御徒町駅 歩10分,築35年,5階,15.9万円,10000円,2LDK,50.43m2
藤和シティコープ新富町,東京都中央区湊３,東京メトロ有楽町線/新富町駅 歩5分 ＪＲ京葉線/八丁堀駅 歩9分 東京メトロ日比谷線/築地駅 歩7分,築35年,7階,11.2万円,5000円,1DK,37.59m2
パークフラッツ渋谷神山町,東京都渋谷区神山町,東京メトロ千代田線/代々木公園駅 歩7分 小田急線/代々木八幡駅 歩9分 東急東横線/渋谷駅 歩10分,築6年,7階,24.9万円,15000円,1LDK,40.83m2
ルジェンテ文京東大前,東京都文京区向丘１,東京メトロ南北線/東大前駅 歩5分 都営三田線/白山駅 歩7分 東京メトロ千代田線/千駄木駅 歩14分,築6年,4階,15.8万円,15000円,1LDK,41.07m2
RARE代々木,東京都渋谷区代々木３,小田急線/参宮橋駅 歩4分 ＪＲ山手線/代々木駅 歩9分 京王新線/初台駅 歩10分,築4年,3階,15.8万円,10000円,1LDK,33.13m2
富久クロスコンフォートタワー,東京都新宿区富久町,東京メトロ丸ノ内線/新宿御苑前駅 歩5分 東京メトロ丸ノ内線/新宿三丁目駅 歩8分 都営新宿線/曙橋駅 歩10分,築9年,39階,40.5万円,26070円,3LDK,75.84m2
プリマベーラ代々木,東京都渋谷区代々木１,ＪＲ山手線/代々木駅 歩4分 東京メトロ副都心線/北参道駅 歩5分 小田急線/南新宿駅 歩9分,築14年,5階,16.9万円,13500円,1LDK,40.34m2
エステムプラザ愛宕虎ノ門レジデンス,東京都港区西新橋２,都営三田線/内幸町駅 歩7分 東京メトロ銀座線/虎ノ門駅 歩7分 ＪＲ山手線/新橋駅 歩9分,築12年,2階,11.58万円,16250円,1DK,25.57m2
レフィールオーブ代々木,東京都渋谷区代々木２,都営大江戸線/新宿駅 歩4分 小田急線/南新宿駅 歩4分 ＪＲ山手線/代々木駅 歩4分,新築,1階,17.9万円,10000円,1LDK,33.79m2
コンフォリア二葉,東京都品川区二葉２,ＪＲ横須賀線/西大井駅 歩8分 ＪＲ京浜東北線/大井町駅 歩15分 東急大井町線/下神明駅 歩8分,新築,1階,11.5万円,10000円,2K,25.37m2
ヴィアレット原宿,東京都渋谷区神宮前２,ＪＲ山手線/原宿駅 歩10分 東京メトロ副都心線/明治神宮前駅 歩9分 東京メトロ銀座線/外苑前駅 歩15分,築19年,2階,16.4万円,8000円,2K,31.8m2
プラウドフラット隅田リバーサイド,東京都中央区新川１,ＪＲ京葉線/八丁堀駅 歩8分 東京メトロ東西線/茅場町駅 歩9分 東京メトロ半蔵門線/水天宮前駅 歩11分,築17年,4階,18.7万円,10000円,1LDK,50.72m2
ディームス大井町フォレスト,東京都品川区東大井３,ＪＲ京浜東北線/大井町駅 歩9分 京急本線/立会川駅 歩8分 京急本線/鮫洲駅 歩9分,築3年,B1階,23.9万円,15000円,2DK,53.98m2
paz-classe本郷春木町,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩3分 ＪＲ総武線/御茶ノ水駅 歩11分 ＪＲ中央線/水道橋駅 歩11分,築11年,4階,16.3万円,15000円,1LDK,43.42m2
リージア経堂テラスガーデン,東京都世田谷区宮坂３,小田急線/経堂駅 歩5分 東急世田谷線/山下駅 歩8分 小田急線/豪徳寺駅 歩9分,築14年,1階,20.6万円,15000円,1LDK,54.65m2
ブリリア日本橋茅場町,東京都中央区日本橋茅場町３,東京メトロ日比谷線/八丁堀駅 歩2分 東京メトロ東西線/茅場町駅 歩3分 東京メトロ銀座線/日本橋駅 歩11分,築15年,10階,20.2万円,0円,1LDK,50.15m2
ノアール,東京都品川区戸越５,東急大井町線/戸越公園駅 歩1分 東急池上線/荏原中延駅 歩7分 都営浅草線/戸越駅 歩10分,築30年,2階,12.8万円,0円,2DK,42.27m2
グラディート汐留ロッソ,東京都港区東新橋２,都営大江戸線/汐留駅 歩5分 東京メトロ銀座線/新橋駅 歩8分 ＪＲ山手線/浜松町駅 歩9分,築18年,12階,28.5万円,0円,1SLDK,72.28m2
パークナード三田聖坂,東京都港区三田４,東京メトロ南北線/白金高輪駅 歩8分 都営浅草線/泉岳寺駅 歩10分 ＪＲ山手線/田町駅 歩13分,築6年,3階,52.5万円,10000円,3LDK,80.15m2
コンフォリア原宿,東京都渋谷区千駄ヶ谷３,ＪＲ山手線/原宿駅 歩4分 東京メトロ千代田線/明治神宮前駅 歩6分 東京メトロ副都心線/北参道駅 歩8分,築19年,4階,18.8万円,10000円,1LDK,36.66m2
パークキューブ日本橋水天宮,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩1分 東京メトロ日比谷線/人形町駅 歩8分 東京メトロ銀座線/日本橋駅 歩18分,築19年,8階,16.7万円,10000円,1LDK,41.23m2
ＵＲ中目黒アトラスタワー,東京都目黒区上目黒１,東急東横線/中目黒駅 歩2分 東京メトロ日比谷線/中目黒駅 歩2分 東急東横線/代官山駅 歩9分,築15年,20階,29.11万円,12200円,1LDK,56.82m2
ブリリアタワー浜離宮,東京都港区海岸１,ＪＲ山手線/浜松町駅 歩5分 新交通ゆりかもめ/竹芝駅 歩2分 都営浅草線/大門駅 歩8分,新築,7階,27万円,0円,1LDK,45.94m2
プライムアーバン本駒込,東京都文京区本駒込１,東京メトロ南北線/本駒込駅 歩2分 都営三田線/白山駅 歩5分 都営三田線/千石駅 歩11分,築17年,7階,15.5万円,12000円,1LDK,38.57m2
セトルコート品川戸越,東京都品川区中延１,都営浅草線/戸越駅 歩7分 東急池上線/戸越銀座駅 歩6分 東急大井町線/戸越公園駅 歩11分,築1年,13階,21.3万円,15000円,1LDK,44.28m2
リバーシティ21新川,東京都中央区新川２,東京メトロ日比谷線/八丁堀駅 歩8分 ＪＲ京葉線/八丁堀駅 歩5分 東京メトロ東西線/茅場町駅 歩11分,築29年,25階,17.2万円,10000円,1LDK,41.36m2
四番町プラザ,東京都千代田区四番町,東京メトロ有楽町線/麹町駅 歩4分 ＪＲ中央線/市ケ谷駅 歩7分 ＪＲ中央線/四ツ谷駅 歩9分,築29年,6階,34万円,10000円,1LDK,84.33m2
CREAL北品川,東京都品川区東品川１,京急本線/新馬場駅 歩9分 東京モノレール/天王洲アイル駅 歩10分 ＪＲ山手線/品川駅 歩17分,新築,5階,14.1万円,10000円,1LDK,32.65m2
品川タワーフェイス,東京都港区港南２,ＪＲ山手線/品川駅 歩9分 東京モノレール/天王洲アイル駅 歩9分 京急本線/北品川駅 歩11分,築19年,11階,26万円,0円,2LDK,67.55m2
GRACE POINT,東京都新宿区左門町,東京メトロ丸ノ内線/四谷三丁目駅 歩7分 ＪＲ中央線/信濃町駅 歩8分 都営新宿線/曙橋駅 歩8分,築9年,1階,16.8万円,3000円,1LDK,47.04m2
リヴシティ文京本郷,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩6分 東京メトロ丸ノ内線/御茶ノ水駅 歩10分 東京メトロ千代田線/湯島駅 歩11分,築15年,11階,8.4万円,10000円,1K,20.22m2
エルスタンザ文京根津,東京都文京区根津１,東京メトロ千代田線/根津駅 歩1分 東京メトロ南北線/東大前駅 歩10分 ＪＲ山手線/上野駅 歩17分,築8年,2階,14.3万円,12000円,1LDK,33.28m2
リバーレ芝公園,東京都港区芝２,都営三田線/芝公園駅 歩4分 都営大江戸線/大門駅 歩7分 ＪＲ山手線/浜松町駅 歩9分,築3年,10階,17.5万円,7000円,1DK,30.05m2
都営三田線 芝公園駅 13階建 築3年,東京都港区芝２,都営三田線/芝公園駅 歩4分 都営大江戸線/大門駅 歩8分 ＪＲ山手線/浜松町駅 歩9分,築3年,10階,17.5万円,7000円,1DK,30.05m2
京成押上線 京成曳舟駅 6階建 築3年,東京都墨田区京島１,京成押上線/京成曳舟駅 歩3分 東武伊勢崎線/曳舟駅 歩5分 東京メトロ半蔵門線/押上駅 歩14分,築3年,2階,8.7万円,15000円,1DK,25.44m2
ORSUS戸越銀座,東京都品川区荏原２,東急池上線/戸越銀座駅 歩5分 東急目黒線/武蔵小山駅 歩15分 都営浅草線/戸越駅 歩8分,新築,2階,12.1万円,10000円,1LDK,26.62m2
ハーモニーグラシア世田谷代田,東京都世田谷区代田１,小田急線/世田谷代田駅 歩8分 東急世田谷線/若林駅 歩10分 京王井の頭線/下北沢駅 歩10分,築6年,1階,16.2万円,12000円,1LDK,47.15m2
